Epoch: 0| It: 0| Loss: 1.176e+00| physLoss: 5.802e-02 | lINITIAL: 5.313e-02 | wLoss: 5.818e-01 | inLoss: 4.012e-01 | outLoss: 8.227e-02 |Time: 0.05s | rTime: 6.924e-04h | LR: 5.000e-03
Epoch: 10| It: 0| Loss: 6.040e-02| physLoss: 8.275e-03 | lINITIAL: 1.988e-02 | wLoss: 1.902e-02 | inLoss: 9.650e-03 | outLoss: 3.569e-03 |Time: 0.02s | rTime: 2.300e-01h | LR: 5.000e-03
Epoch: 20| It: 0| Loss: 1.581e-01| physLoss: 3.984e-03 | lINITIAL: 1.159e-02 | wLoss: 1.064e-01 | inLoss: 1.770e-02 | outLoss: 1.846e-02 |Time: 0.02s | rTime: 4.399e-01h | LR: 5.000e-03
Epoch: 30| It: 0| Loss: 1.150e-01| physLoss: 4.899e-03 | lINITIAL: 1.850e-02 | wLoss: 1.691e-02 | inLoss: 7.350e-02 | outLoss: 1.173e-03 |Time: 0.02s | rTime: 6.453e-01h | LR: 5.000e-03
Epoch: 40| It: 0| Loss: 8.668e-02| physLoss: 2.136e-03 | lINITIAL: 3.404e-02 | wLoss: 6.832e-03 | inLoss: 2.067e-02 | outLoss: 2.300e-02 |Time: 0.02s | rTime: 8.440e-01h | LR: 5.000e-03
Epoch: 50| It: 0| Loss: 1.164e-01| physLoss: 5.937e-03 | lINITIAL: 1.544e-02 | wLoss: 7.158e-02 | inLoss: 1.532e-02 | outLoss: 8.087e-03 |Time: 0.02s | rTime: 1.043e+00h | LR: 5.000e-03
Epoch: 60| It: 0| Loss: 7.806e-02| physLoss: 3.717e-03 | lINITIAL: 7.571e-03 | wLoss: 3.889e-02 | inLoss: 4.845e-03 | outLoss: 2.303e-02 |Time: 0.02s | rTime: 1.244e+00h | LR: 5.000e-03
Epoch: 70| It: 0| Loss: 9.318e-02| physLoss: 9.193e-03 | lINITIAL: 9.178e-03 | wLoss: 1.725e-02 | inLoss: 4.702e-02 | outLoss: 1.054e-02 |Time: 0.02s | rTime: 1.450e+00h | LR: 5.000e-03
Epoch: 80| It: 0| Loss: 8.102e-02| physLoss: 3.850e-03 | lINITIAL: 1.944e-02 | wLoss: 1.295e-02 | inLoss: 2.855e-02 | outLoss: 1.623e-02 |Time: 0.02s | rTime: 1.654e+00h | LR: 5.000e-03
Epoch: 90| It: 0| Loss: 6.434e-02| physLoss: 1.208e-02 | lINITIAL: 9.463e-03 | wLoss: 3.629e-02 | inLoss: 3.810e-03 | outLoss: 2.693e-03 |Time: 0.02s | rTime: 1.874e+00h | LR: 5.000e-03
