Epoch: 0| It: 0| Loss: 5.096e-01| physLoss: 3.564e-02 | lINITIAL: 1.740e-01 | wLoss: 8.506e-03 | inLoss: 5.214e-02 | outLoss: 2.393e-01 |Time: 0.00s | rTime: 2.997e-04h | LR: 5.000e-03
Epoch: 100| It: 0| Loss: 5.009e-02| physLoss: 5.525e-03 | lINITIAL: 9.178e-03 | wLoss: 5.518e-03 | inLoss: 1.787e-02 | outLoss: 1.200e-02 |Time: 0.00s | rTime: 5.761e-02h | LR: 5.000e-03
Epoch: 200| It: 0| Loss: 2.374e-02| physLoss: 2.502e-03 | lINITIAL: 3.115e-03 | wLoss: 1.319e-02 | inLoss: 3.795e-03 | outLoss: 1.140e-03 |Time: 0.00s | rTime: 8.032e-02h | LR: 5.000e-03
Epoch: 300| It: 0| Loss: 2.396e-02| physLoss: 2.473e-03 | lINITIAL: 6.313e-03 | wLoss: 1.000e-02 | inLoss: 3.704e-03 | outLoss: 1.467e-03 |Time: 0.00s | rTime: 1.027e-01h | LR: 5.000e-03
Epoch: 400| It: 0| Loss: 2.045e-02| physLoss: 3.087e-03 | lINITIAL: 3.291e-03 | wLoss: 1.003e-02 | inLoss: 3.977e-03 | outLoss: 6.859e-05 |Time: 0.00s | rTime: 1.275e-01h | LR: 5.000e-03
Epoch: 500| It: 0| Loss: 1.926e-02| physLoss: 2.325e-03 | lINITIAL: 3.415e-03 | wLoss: 9.653e-03 | inLoss: 3.777e-03 | outLoss: 9.497e-05 |Time: 0.00s | rTime: 1.496e-01h | LR: 5.000e-03
Epoch: 600| It: 0| Loss: 1.856e-02| physLoss: 2.602e-03 | lINITIAL: 2.908e-03 | wLoss: 1.026e-02 | inLoss: 2.762e-03 | outLoss: 2.391e-05 |Time: 0.00s | rTime: 1.725e-01h | LR: 5.000e-03
Epoch: 700| It: 0| Loss: 1.828e-02| physLoss: 2.808e-03 | lINITIAL: 2.391e-03 | wLoss: 1.044e-02 | inLoss: 2.629e-03 | outLoss: 1.231e-05 |Time: 0.00s | rTime: 1.937e-01h | LR: 5.000e-03
Epoch: 800| It: 0| Loss: 1.820e-02| physLoss: 2.817e-03 | lINITIAL: 2.368e-03 | wLoss: 1.037e-02 | inLoss: 2.644e-03 | outLoss: 1.106e-05 |Time: 0.00s | rTime: 2.167e-01h | LR: 5.000e-03
Epoch: 900| It: 0| Loss: 1.825e-02| physLoss: 3.017e-03 | lINITIAL: 2.059e-03 | wLoss: 1.088e-02 | inLoss: 2.294e-03 | outLoss: 3.147e-06 |Time: 0.00s | rTime: 2.382e-01h | LR: 5.000e-03
Epoch: 1000| It: 0| Loss: 1.838e-02| physLoss: 3.003e-03 | lINITIAL: 2.145e-03 | wLoss: 1.109e-02 | inLoss: 2.148e-03 | outLoss: 3.718e-06 |Time: 0.00s | rTime: 2.602e-01h | LR: 5.000e-03
Epoch: 1100| It: 0| Loss: 1.852e-02| physLoss: 3.052e-03 | lINITIAL: 2.180e-03 | wLoss: 1.114e-02 | inLoss: 2.145e-03 | outLoss: 4.184e-06 |Time: 0.00s | rTime: 2.820e-01h | LR: 5.000e-03
Epoch: 1200| It: 0| Loss: 1.860e-02| physLoss: 3.078e-03 | lINITIAL: 2.266e-03 | wLoss: 1.109e-02 | inLoss: 2.163e-03 | outLoss: 3.410e-06 |Time: 0.00s | rTime: 3.032e-01h | LR: 5.000e-03
