Epoch: 240| It: 0| Loss: 2.195e-02| physLoss: 2.245e-03 | lINITIAL: 4.118e-03 | wLoss: 8.398e-03 | inLoss: 7.028e-03 | outLoss: 1.603e-04 |Time: 0.00s | rTime: 2.423e-02h | LR: 5.000e-03
Epoch: 250| It: 0| Loss: 2.069e-02| physLoss: 2.028e-03 | lINITIAL: 3.935e-03 | wLoss: 1.185e-02 | inLoss: 2.738e-03 | outLoss: 1.331e-04 |Time: 0.00s | rTime: 2.530e-02h | LR: 5.000e-03
Epoch: 260| It: 0| Loss: 2.120e-02| physLoss: 2.850e-03 | lINITIAL: 3.894e-03 | wLoss: 1.058e-02 | inLoss: 2.886e-03 | outLoss: 9.906e-04 |Time: 0.00s | rTime: 2.633e-02h | LR: 5.000e-03
Epoch: 270| It: 0| Loss: 2.131e-02| physLoss: 3.390e-03 | lINITIAL: 4.473e-03 | wLoss: 9.480e-03 | inLoss: 3.654e-03 | outLoss: 3.147e-04 |Time: 0.00s | rTime: 2.751e-02h | LR: 5.000e-03
Epoch: 280| It: 0| Loss: 2.118e-02| physLoss: 3.100e-03 | lINITIAL: 4.353e-03 | wLoss: 9.479e-03 | inLoss: 4.055e-03 | outLoss: 1.902e-04 |Time: 0.00s | rTime: 2.842e-02h | LR: 5.000e-03
Epoch: 290| It: 0| Loss: 1.983e-02| physLoss: 2.847e-03 | lINITIAL: 2.568e-03 | wLoss: 1.042e-02 | inLoss: 3.599e-03 | outLoss: 3.943e-04 |Time: 0.00s | rTime: 2.934e-02h | LR: 5.000e-03
Epoch: 300| It: 0| Loss: 1.956e-02| physLoss: 2.936e-03 | lINITIAL: 2.205e-03 | wLoss: 9.375e-03 | inLoss: 4.696e-03 | outLoss: 3.440e-04 |Time: 0.00s | rTime: 3.035e-02h | LR: 5.000e-03
Epoch: 310| It: 0| Loss: 1.975e-02| physLoss: 2.872e-03 | lINITIAL: 1.796e-03 | wLoss: 1.010e-02 | inLoss: 4.183e-03 | outLoss: 7.956e-04 |Time: 0.00s | rTime: 3.137e-02h | LR: 5.000e-03
Epoch: 320| It: 0| Loss: 1.928e-02| physLoss: 2.840e-03 | lINITIAL: 2.517e-03 | wLoss: 8.459e-03 | inLoss: 5.172e-03 | outLoss: 2.892e-04 |Time: 0.00s | rTime: 3.237e-02h | LR: 5.000e-03
Epoch: 330| It: 0| Loss: 1.950e-02| physLoss: 2.698e-03 | lINITIAL: 2.860e-03 | wLoss: 1.059e-02 | inLoss: 3.028e-03 | outLoss: 3.237e-04 |Time: 0.00s | rTime: 3.337e-02h | LR: 5.000e-03
